asset_id	asset_type	asset_role	app_uri	local_path	mime_type	file_hash	file_size_bytes	width_px	height_px	status	target_question_type	attach_field	current_status	notes
asset_img_jdg_ms02_shelf_master_v001	IMAGE	QUESTION_MEDIA	app://assets/question-media/jdg-ms02-standard-shelf-master-v001.png	AIimages/JDG-MS02-standard-shelf-master-v001.png	image/png	23bc23c84980a74841dd2e9a2ae16dae927a511aaf423acc1295bc55efd649a5	2054633	1672	941	ACTIVE	TRUE_FALSE	question_bank.media_asset_id	placeholder_only	货架母版；可登记，但是否直接挂题需再确认
asset_img_jdg_ms02_facing_correct_v001	IMAGE	QUESTION_MEDIA	app://assets/question-media/jdg-ms02-facing-correct-v001.png	AIimages/JDG-MS02-facing-correct-v001.png	image/png	7c4c43a2fd82b29bda4eba80f04440ff8427adffd42f13a6cf0bef0ed11379bf	2073596	1672	941	ACTIVE	TRUE_FALSE	content_json.variants[].media_asset_id	direct_attach	判断题正确态；可直接接入
asset_img_jdg_ms02_facing_wrong_v001	IMAGE	QUESTION_MEDIA	app://assets/question-media/jdg-ms02-facing-wrong-v001.png	AIimages/JDG-MS02-facing-wrong-v001.png	image/png	f73dfc8cbec86b934f758f65e2380bf074a188a9be3765d4ba12b446ee41b139	3127378	2048	1152	ACTIVE	TRUE_FALSE	content_json.variants[].media_asset_id	direct_attach	判断题错误态；可直接接入
asset_img_jdg_ms04_safety_master_v001	IMAGE	QUESTION_MEDIA	app://assets/question-media/jdg-ms04-safety-risk-master-v001.png	AIimages/JDG-MS04-safety-risk-master-v001.png	image/png	324979c39012e03574d6ec13142d8dc565691976ff65d8044f22e4d8cbfd7709	2133660	1672	941	ACTIVE	TRUE_FALSE	question_bank.media_asset_id	placeholder_only	安全题母版；当前只有母版，没有逐题正误变体
asset_img_drg_bg01_shelf_board_v001	IMAGE	QUESTION_MEDIA	app://assets/question-media/drg-bg01-shelf-alignment-board-v001.png	AIimages/DRG-BG01-shelf-alignment-board-v001.png	image/png	e4371d60726210b6715e32e6537400c5e54d554c9223c246d65870197586f6d5	1487471	1672	941	ACTIVE	DRAG	question_bank.media_asset_id	direct_attach	拖拽题底图；可直接接入
asset_img_drg_obj02_goods_pack_v003	IMAGE	QUESTION_MEDIA	app://assets/question-media/drg-obj02-goods-facing-pack-v003.png	AIimages/DRG-OBJ02-goods-facing-pack-v003.png	image/png	abbc70ac35fec4600b020ffd50bfa717a19a0f9def4314df7f1bdef294881aea	1461218	1254	1254	ACTIVE	DRAG	content_json.drag_items[].image_asset_id	placeholder_only	素材包总览图 v003；作为当前 DRG-OBJ02 视觉基线，不能直接作为 draggable item
asset_img_drg_obj02_snack_box_blue_v002	IMAGE	QUESTION_MEDIA	app://assets/question-media/drg-obj02-snack-box-blue-v002.png	AIimages/drg-obj02-snack-box-blue-v002.png	image/png	7d53737de19e84f9e2442ff139d0e6f774f45637b4ca97227749a344e0b22351	1534898	1254	1254	ACTIVE	DRAG	content_json.drag_items[].image_asset_id	direct_attach	零食盒蓝色子素材；透明底 draggable item
asset_img_drg_obj02_snack_box_red_v002	IMAGE	QUESTION_MEDIA	app://assets/question-media/drg-obj02-snack-box-red-v002.png	AIimages/drg-obj02-snack-box-red-v002.png	image/png	adae3aa3ac4effba8a6709a078354458162c6be3a152708e037f723cf8a0aab4	1596471	1254	1254	ACTIVE	DRAG	content_json.drag_items[].image_asset_id	direct_attach	零食盒红色子素材；透明底 draggable item
asset_img_drg_obj02_snack_box_yellow_v002	IMAGE	QUESTION_MEDIA	app://assets/question-media/drg-obj02-snack-box-yellow-v002.png	AIimages/drg-obj02-snack-box-yellow-v002.png	image/png	0354709b71a23a483c3c0c516a927c30e15c20d255d0837cea7d14ed308509db	1647960	1254	1254	ACTIVE	DRAG	content_json.drag_items[].image_asset_id	direct_attach	零食盒黄色子素材；透明底 draggable item
asset_img_drg_obj02_snack_box_green_v002	IMAGE	QUESTION_MEDIA	app://assets/question-media/drg-obj02-snack-box-green-v002.png	AIimages/drg-obj02-snack-box-green-v002.png	image/png	8d7d785cff1b5dc1fc8040c852a7edf59b88d653cd8cbea0642fccc8b0ef1700	1696103	1254	1254	ACTIVE	DRAG	content_json.drag_items[].image_asset_id	direct_attach	零食盒绿色子素材；透明底 draggable item
