通用基础能力评估题库（6 大模块・单模块 40 题）,,,,,,
"表现形式
1.判断题统一观看小视频，判断视频中行为对错。
2.选择题图文结合，选择正确选项。
3.拖拽题界面拖动虚拟物品。
4.实操题教具操作，老师打分。",,"1.达标（2 分）：独立选出正确选项，准确理解题干要求。
2.需改进（1 分）：选择过程犹豫，选错后可自行更正；经口头提示后选出正确答案。
3.不达标（0 分）：持续选择错误选项；随机乱选；拒绝作答。",,,"界面要素：1.题目
         2.选择判断按钮
         3.提交/跳过/求助
         4.第几题","后台数据输出统计：
1.答题数及分数
2.能力题目配比。6大能力及岗位相关
3.图表及文字分析（报告）
4.建议（是否马上可以进行岗位训练/需要岗位和基础训练同步进行，重点哪方面/完全不合适该岗位）"
考察点,题目,素材内容描述（仅供参考）,能力维度标签,考察难度,计分规则,备注
一、精细动作能力（40 题）,,,"1. 手部灵巧度：手指精细活动、捏取、旋转、夹持、分拣、穿拆、对齐等灵活操作
2. 双手配合：左右手分工协作、固定+操作、传递、对合、折叠等协同动作
3. 动作稳定性：端取、托举、平移、行走、堆叠过程中不晃动、不倾倒、不滑落
4. 力度控制：不轻不重、不捏碎、不松散、不蛮力、均匀发力、可控操作",,,统一循环播放视频，可暂停
（一）判断题（14 题）,,,,,"（一）判断题（测评抽取 7 题）
1.达标（2 分）：独立做出正确判断，理解题目含义。
2.需改进（1 分）：答题犹豫、反复修改答案，经简单提示后选择正确。
3.不达标（0 分）：判断错误；完全不理解题意；随机乱选；安全类题目选择危险行为，直接记 0 分。",
1. 【基础】能用指尖独立夹取小物件，不滑落、不捏碎,请观看视频，判断视频中人物的动作是否符合标准要求？,正确版：人物用二指轻捏小件物品，平稳拿起、无挤压、无掉落动作错误版：人物捏取物品时用力过猛捏碎、或手指打滑物品掉落,灵巧度、力度控制,低级,1. 达标（2 分）：独立判断正确，无犹豫2. 需改进（1 分）：经提示后判断正确3. 不达标（0 分）：判断错误,
2. 【基础】单手端平托盘，行走时不洒落物品。,请观看视频，判断视频中人物的动作是否符合标准要求？,正确版：人物单手端托盘行走，全程托盘水平、无倾斜、物品无晃动洒落错误版：人物端托盘行走时托盘倾斜、小件物品晃动洒落,动作稳定性,低级,1. 达标（2 分）：独立判断正确2. 需改进（1 分）：经提示后判断正确3. 不达标（0 分）：判断错误,
3. 【岗位关联】单手扶住箱体，另一只手撕开纸箱封条。,请观看视频，判断视频中人物的动作是否符合标准要求？,正确版：人物一手扶箱固定，一手沿胶带边缘匀速撕开，箱体完好、无暴力动作错误版：人物双手猛力撕扯胶带、箱体变形破损,双手配合、力度控制,中级,1. 达标（2 分）：独立判断正确2. 需改进（1 分）：经提示后判断正确3. 不达标（0 分）：判断错误,
4. 【基础】双手配合折叠长方形卡纸，边角对齐。,请观看视频，判断视频中人物的动作是否符合标准要求？,正确版：人物双手配合折叠卡纸，边角完全对齐、纸面平整无褶皱错误版：人物折叠卡纸边角错位、歪斜、未压平,双手配合、灵巧度,中级,1. 达标（2 分）：独立判断正确2. 需改进（1 分）：经提示后判断正确3. 不达标（0 分）：判断错误,
5. 【基础】使用夹子夹取小件物品，夹取稳定不滑落。,请观看视频，判断视频中人物的动作是否符合标准要求？,正确版：人物用夹子居中夹紧小件物品，平移全程稳固不掉落错误版：人物夹子夹取位置偏移、物品移动中掉落,灵巧度、稳定性,低级,1. 达标（2 分）：独立判断正确2. 需改进（1 分）：经提示后判断正确3. 不达标（0 分）：判断错误,
6. 【岗位关联】将盒装商品单层平放，不倾斜堆叠。,请观看视频，判断视频中人物的动作是否符合标准要求？,正确版：人物将盒装商品单层平放，摆放端正、无倾斜、无堆叠错误版：人物将盒装商品歪斜摆放、高低不平、倾斜堆叠,稳定性、灵巧度,低级,1. 达标（2 分）：独立判断正确2. 需改进（1 分）：经提示后判断正确3. 不达标（0 分）：判断错误,
7. 【基础】五指抓握水杯，正常端取不脱手。,请观看视频，判断视频中人物的动作是否符合标准要求？,正确版：人物五指全环绕抓握杯身，端起放下平稳、无打滑晃动错误版：人物抓握水杯手指打滑、端取过程中水杯晃动险些掉落,稳定性、力度控制,低级,1. 达标（2 分）：独立判断正确2. 需改进（1 分）：经提示后判断正确3. 不达标（0 分）：判断错误,
8. 【基础】连续拾取桌面散落物件，动作连贯有序。,请观看视频，判断视频中人物的动作是否符合标准要求？,正确版：人物连续拾取桌面散落小件，动作连贯、无频繁掉落错误版：人物拾取动作卡顿、频繁抓不稳物品掉落,灵巧度、稳定性,中级,1. 达标（2 分）：独立判断正确2. 需改进（1 分）：经提示后判断正确3. 不达标（0 分）：判断错误,
9. 【岗位关联】整理空纸箱，折叠后整齐靠放。,请观看视频，判断视频中人物的动作是否符合标准要求？,正确版：人物双手折叠纸箱压平，靠墙整齐摆放、无歪斜错误版：人物折叠纸箱不规整、随意堆放、无法整齐靠放,双手配合、灵巧度,中级,1. 达标（2 分）：独立判断正确2. 需改进（1 分）：经提示后判断正确3. 不达标（0 分）：判断错误,
